,participant_id,session_start_iso,handedness,proficiency,age,block,block_time_s,trial,amplitude_px,direction,diameter_px,radius_px,errors,path_distance_px,center_to_click_px,trial_time_s
0,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,1,52.8677,1,180,left,40,20,0,181.55,169.01,1.0111
1,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,1,52.8677,2,180,right,40,20,0,192.85,181.1,0.769
2,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,1,52.8677,3,260,right,80,40,0,280.15,261.02,0.7817
3,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,1,52.8677,4,500,right,80,40,0,634.07,503.08,1.2399
4,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,1,52.8677,5,500,left,80,40,0,486.96,484.01,1.2039
5,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,1,52.8677,6,360,left,160,80,0,369.7,356.01,0.9042
6,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,1,52.8677,7,180,right,120,60,0,157.07,150.0,0.7559
7,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,1,52.8677,8,360,right,80,40,0,419.8,385.0,0.8539
8,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,1,52.8677,9,500,right,120,60,1,477.73,461.04,2.5807
9,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,1,52.8677,10,360,right,40,20,0,418.48,361.01,1.3116
10,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,1,52.8677,11,260,right,160,80,0,263.21,261.32,0.6725
11,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,1,52.8677,12,360,left,80,40,0,341.64,333.02,1.3236
12,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,1,52.8677,13,260,left,160,80,0,235.4,233.55,0.7412
13,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,1,52.8677,14,260,left,80,40,0,265.78,263.37,0.7842
14,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,1,52.8677,15,180,right,160,80,0,121.16,119.04,0.5745
15,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,1,52.8677,16,260,right,40,20,0,266.52,263.01,0.7721
16,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,1,52.8677,17,360,left,40,20,0,440.49,368.0,1.1642
17,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,1,52.8677,18,360,right,120,60,0,371.4,368.01,0.7592
18,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,1,52.8677,19,500,right,40,20,0,515.45,506.02,0.9676
19,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,1,52.8677,20,180,right,80,40,0,193.7,190.21,0.7546
20,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,1,52.8677,21,500,right,160,80,0,533.63,530.06,0.8728
21,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,1,52.8677,22,500,left,160,80,0,458.62,454.28,0.7167
22,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,1,52.8677,23,360,left,120,60,0,380.87,374.13,0.7318
23,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,1,52.8677,24,260,left,40,20,0,276.21,267.0,0.8942
24,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,1,52.8677,25,180,left,120,60,0,143.69,142.06,0.9574
25,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,1,52.8677,26,500,left,120,60,0,490.53,489.04,0.98
26,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,1,52.8677,27,260,right,120,60,0,260.25,258.01,0.7873
27,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,1,52.8677,28,180,left,160,80,0,146.84,145.17,0.7363
28,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,1,52.8677,29,360,right,160,80,0,349.56,347.02,0.7229
29,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,1,52.8677,30,180,left,80,40,0,172.59,172.05,0.6983
30,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,1,52.8677,31,260,left,120,60,0,256.34,255.0,0.7058
31,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,1,52.8677,32,500,left,40,20,0,552.78,517.1,1.6103
32,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,2,39.793,1,260,left,160,80,0,213.55,211.34,0.7038
33,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,2,39.793,2,180,left,120,60,0,330.39,195.24,1.2998
34,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,2,39.793,3,360,right,160,80,0,390.01,385.06,0.6854
35,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,2,39.793,4,180,right,120,60,1,201.22,190.38,0.6432
36,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,2,39.793,5,500,left,80,40,0,502.62,482.37,0.7831
37,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,2,39.793,6,360,right,120,60,0,395.73,379.16,0.8377
38,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,2,39.793,7,500,right,40,20,1,990.76,492.0,1.4146
39,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,2,39.793,8,360,left,120,60,0,330.3,326.39,0.7166
40,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,2,39.793,9,260,right,160,80,0,232.0,229.08,0.6198
41,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,2,39.793,10,260,right,40,20,0,505.92,249.0,1.0665
